                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2602,                 4.0524,                 1.2647,                0.69238,                0.07161,                0.06558,                0.03624,                 2.1607,                 2.9618,                 1.1189,             0.00019456,             0.00019456,             0.00019456
                      2,                 2.2427,                 2.9874,                 1.1468,                0.67159,                 0.1103,                0.08828,                 0.0493,                 2.0863,                 2.3866,                 1.0972,             0.00038669,             0.00038669,             0.00038669
                      3,                 2.2106,                 2.6126,                 1.1249,                0.53635,                0.12004,                0.10548,                0.05837,                 2.0334,                 2.2154,                 1.0935,             0.00057494,             0.00057494,             0.00057494
                      4,                 2.1383,                 2.3665,                 1.1122,                0.37721,                0.14633,                0.12188,                0.06937,                 1.9772,                 2.0086,                 1.0824,             0.00057054,             0.00057054,             0.00057054
                      5,                 2.0651,                 2.2054,                 1.0988,                0.50349,                0.18056,                0.15455,                0.09256,                 1.9341,                 1.9691,                 1.0627,             0.00057054,             0.00057054,             0.00057054
                      6,                 2.0447,                 2.1043,                 1.0925,                0.54247,                0.21144,                0.16315,                0.09658,                 1.9164,                 1.8547,                  1.066,             0.00056472,             0.00056472,             0.00056472
                      7,                 1.9868,                 2.0041,                 1.0801,                0.53375,                0.25796,                0.20708,                0.12595,                 1.8969,                 1.7936,                 1.0494,             0.00055889,             0.00055889,             0.00055889
                      8,                 1.9663,                 1.9383,                 1.0669,                0.38549,                0.28755,                0.22772,                0.14408,                 1.8521,                 1.7383,                 1.0457,             0.00055307,             0.00055307,             0.00055307
                      9,                 1.9563,                 1.9094,                 1.0766,                 0.5127,                0.28736,                0.22269,                0.13242,                 1.9093,                 1.7671,                 1.0426,             0.00054725,             0.00054725,             0.00054725
                     10,                 1.9436,                  1.859,                 1.0455,                0.60445,                0.29906,                0.27328,                0.17474,                 1.8447,                 1.6562,                 1.0342,             0.00054143,             0.00054143,             0.00054143
                     11,                 1.9162,                 1.8312,                 1.0525,                0.63151,                0.27289,                0.28683,                0.18619,                 1.8038,                 1.6407,                 1.0234,             0.00053561,             0.00053561,             0.00053561
                     12,                 1.8853,                  1.788,                 1.0483,                0.62147,                0.29749,                0.29932,                0.19266,                 1.8164,                 1.6222,                 1.0289,             0.00052979,             0.00052979,             0.00052979
                     13,                 1.8725,                 1.7515,                 1.0452,                0.67854,                0.32117,                0.33359,                0.22002,                 1.8418,                 1.5855,                 1.0263,             0.00052397,             0.00052397,             0.00052397
                     14,                 1.8482,                 1.7046,                 1.0403,                0.62512,                0.32646,                0.34477,                0.23049,                 1.7819,                 1.5542,                  1.021,             0.00051815,             0.00051815,             0.00051815
                     15,                 1.8446,                 1.6823,                 1.0308,                0.62705,                0.36018,                 0.3634,                0.24081,                 1.7698,                 1.5561,                 1.0194,             0.00051232,             0.00051232,             0.00051232
                     16,                 1.8415,                 1.6454,                 1.0355,                0.49688,                0.40728,                0.37355,                0.24769,                 1.7229,                  1.496,                 1.0098,              0.0005065,              0.0005065,              0.0005065
                     17,                   1.83,                 1.6489,                 1.0285,                0.60758,                0.37605,                0.37559,                0.25869,                 1.7183,                 1.4606,                 1.0083,             0.00050068,             0.00050068,             0.00050068
                     18,                  1.786,                 1.6008,                  1.018,                0.69008,                0.36302,                0.40581,                0.27045,                 1.7455,                 1.4703,                 1.0094,             0.00049486,             0.00049486,             0.00049486
                     19,                 1.8247,                 1.6056,                 1.0262,                0.57808,                0.40169,                0.39816,                0.26889,                 1.7076,                 1.4468,                 1.0017,             0.00048904,             0.00048904,             0.00048904
                     20,                 1.8185,                 1.5911,                 1.0293,                0.54485,                0.40117,                0.39479,                0.26255,                 1.7374,                 1.4562,                 1.0025,             0.00048322,             0.00048322,             0.00048322
                     21,                 1.7985,                 1.5903,                  1.013,                  0.561,                0.38879,                0.41875,                0.28252,                 1.7088,                 1.4387,                0.99783,              0.0004774,              0.0004774,              0.0004774
                     22,                 1.7906,                 1.5517,                 1.0168,                0.47098,                0.44306,                0.43393,                0.30241,                 1.6826,                 1.3782,                 1.0004,             0.00047158,             0.00047158,             0.00047158
                     23,                 1.7803,                 1.5142,                  1.014,                0.44078,                 0.4698,                0.44381,                0.30846,                 1.6631,                 1.3465,                 0.9903,             0.00046575,             0.00046575,             0.00046575
                     24,                 1.7655,                 1.4926,                 1.0104,                 0.5057,                0.42749,                0.44561,                0.30349,                 1.6923,                 1.3609,                0.99217,             0.00045993,             0.00045993,             0.00045993
                     25,                 1.7711,                 1.5041,                 1.0054,                0.51149,                0.46698,                0.47013,                0.32335,                 1.6651,                 1.3423,                0.98992,             0.00045411,             0.00045411,             0.00045411
                     26,                  1.729,                 1.4872,                 1.0063,                0.57879,                0.45308,                0.47337,                0.31861,                 1.6959,                 1.3783,                0.98924,             0.00044829,             0.00044829,             0.00044829
                     27,                 1.7411,                 1.4598,                 1.0035,                 0.5301,                0.49709,                0.49394,                0.33496,                 1.6713,                 1.3733,                0.99135,             0.00044247,             0.00044247,             0.00044247
                     28,                 1.7163,                 1.4413,                 1.0023,                0.51837,                0.52605,                0.50528,                 0.3465,                 1.6686,                  1.339,                0.98663,             0.00043665,             0.00043665,             0.00043665
                     29,                 1.7346,                 1.4581,                 1.0009,                0.56142,                 0.4971,                0.51467,                 0.3498,                 1.6553,                 1.3194,                0.98572,             0.00043083,             0.00043083,             0.00043083
                     30,                 1.7096,                 1.4128,                 0.9978,                0.59558,                0.50803,                0.51585,                0.35466,                 1.6571,                 1.2902,                0.98853,             0.00042501,             0.00042501,             0.00042501
                     31,                 1.7451,                 1.4466,                 1.0018,                0.50194,                0.53607,                0.51236,                0.34498,                 1.6597,                 1.3172,                0.98402,             0.00041919,             0.00041919,             0.00041919
                     32,                 1.7392,                 1.4241,                 0.9937,                0.55102,                0.49408,                0.50591,                0.34853,                 1.6598,                  1.334,                0.98791,             0.00041336,             0.00041336,             0.00041336
                     33,                 1.7061,                 1.3841,                0.99708,                0.60916,                0.51887,                 0.5407,                0.37483,                 1.6505,                 1.2574,                0.98906,             0.00040754,             0.00040754,             0.00040754
                     34,                 1.7191,                 1.3709,                 0.9939,                0.57005,                0.49768,                 0.5334,                0.36063,                 1.6336,                  1.259,                0.98026,             0.00040172,             0.00040172,             0.00040172
                     35,                 1.6916,                 1.3516,                0.99017,                0.60192,                0.52912,                0.54705,                0.37747,                 1.6169,                 1.2508,                0.97728,              0.0003959,              0.0003959,              0.0003959
                     36,                  1.708,                 1.3744,                  0.989,                0.52783,                0.53363,                0.54124,                 0.3617,                 1.6628,                 1.2704,                0.97762,             0.00039008,             0.00039008,             0.00039008
                     37,                  1.679,                  1.338,                0.98415,                0.63335,                0.50656,                0.54314,                0.38113,                 1.6114,                 1.2328,                0.97998,             0.00038426,             0.00038426,             0.00038426
                     38,                 1.6857,                 1.3518,                0.99042,                0.59725,                0.54734,                0.57472,                0.39781,                 1.6254,                 1.2363,                0.97808,             0.00037844,             0.00037844,             0.00037844
                     39,                   1.69,                 1.3448,                 0.9849,                0.61502,                0.55352,                0.57952,                0.40049,                 1.6067,                 1.2455,                0.97489,             0.00037262,             0.00037262,             0.00037262
                     40,                 1.6748,                 1.3214,                0.98204,                0.63647,                0.55414,                0.58367,                0.40886,                 1.6044,                 1.1875,                0.97066,             0.00036679,             0.00036679,             0.00036679
                     41,                 1.6752,                 1.2944,                0.98494,                0.53947,                0.54976,                 0.5589,                0.38641,                 1.6903,                 1.2473,                0.98518,             0.00036097,             0.00036097,             0.00036097
                     42,                 1.6788,                 1.2987,                0.98364,                0.62412,                0.52788,                0.57967,                0.40668,                 1.6245,                 1.2239,                0.98341,             0.00035515,             0.00035515,             0.00035515
                     43,                 1.6745,                 1.2921,                0.98596,                0.69387,                 0.5176,                0.57862,                0.40893,                 1.5986,                 1.1987,                0.96767,             0.00034933,             0.00034933,             0.00034933
                     44,                 1.6554,                   1.28,                0.97394,                0.63331,                0.53784,                0.59689,                0.42294,                 1.5916,                 1.2024,                0.96461,             0.00034351,             0.00034351,             0.00034351
                     45,                 1.6266,                 1.2672,                0.97772,                0.66594,                0.56303,                0.58508,                0.41033,                 1.6144,                 1.1856,                0.96643,             0.00033769,             0.00033769,             0.00033769
                     46,                 1.6521,                 1.2619,                0.97471,                0.66925,                0.54999,                0.59719,                0.40457,                 1.6039,                 1.1757,                0.96768,             0.00033187,             0.00033187,             0.00033187
                     47,                  1.623,                 1.2625,                0.97653,                0.69686,                0.54233,                0.59842,                 0.4225,                 1.5826,                 1.1808,                  0.967,             0.00032605,             0.00032605,             0.00032605
                     48,                 1.6306,                 1.2497,                0.97737,                0.64877,                0.55755,                0.59798,                0.41197,                 1.6251,                 1.1722,                0.97004,             0.00032022,             0.00032022,             0.00032022
                     49,                 1.6219,                 1.2369,                 0.9697,                 0.6806,                0.57141,                0.60538,                0.41829,                 1.5837,                 1.1522,                0.96353,              0.0003144,              0.0003144,              0.0003144
                     50,                 1.6231,                 1.2215,                0.96677,                0.66453,                0.56479,                0.61651,                0.43413,                 1.5749,                 1.1442,                  0.965,             0.00030858,             0.00030858,             0.00030858
                     51,                 1.6024,                 1.2145,                0.97001,                0.72114,                0.55851,                0.62329,                 0.4414,                  1.571,                 1.1326,                0.96183,             0.00030276,             0.00030276,             0.00030276
                     52,                 1.6082,                 1.1985,                0.96222,                0.69256,                0.58204,                0.63033,                0.44608,                 1.5923,                 1.1314,                0.96453,             0.00029694,             0.00029694,             0.00029694
                     53,                 1.6218,                 1.2237,                 0.9621,                0.72112,                0.58287,                0.63893,                 0.4543,                 1.5597,                 1.1252,                0.96077,             0.00029112,             0.00029112,             0.00029112
                     54,                 1.6284,                 1.2093,                0.96637,                0.72909,                0.55184,                0.61802,                0.43939,                 1.5704,                 1.1523,                0.95912,              0.0002853,              0.0002853,              0.0002853
                     55,                 1.5913,                 1.1862,                0.96257,                0.67071,                0.58559,                0.63201,                0.44657,                 1.5751,                 1.1282,                0.95872,             0.00027948,             0.00027948,             0.00027948
                     56,                 1.6011,                 1.1941,                 0.9639,                0.69631,                0.58621,                0.64578,                 0.4594,                 1.5496,                 1.1155,                0.95674,             0.00027366,             0.00027366,             0.00027366
                     57,                 1.6085,                 1.1991,                0.96526,                0.72639,                 0.5772,                0.63717,                0.44942,                 1.5538,                 1.1027,                0.95919,             0.00026783,             0.00026783,             0.00026783
                     58,                 1.6071,                 1.1793,                0.96295,                0.70561,                0.58165,                 0.6387,                 0.4385,                 1.5767,                 1.1129,                0.96198,             0.00026201,             0.00026201,             0.00026201
                     59,                 1.6049,                 1.1749,                0.95915,                0.70876,                0.59154,                0.64545,                0.46138,                 1.5433,                   1.09,                0.95603,             0.00025619,             0.00025619,             0.00025619
                     60,                 1.5837,                 1.1698,                0.96264,                0.69066,                0.59951,                0.65177,                0.46682,                 1.5427,                 1.0811,                0.95633,             0.00025037,             0.00025037,             0.00025037
                     61,                 1.5872,                 1.1602,                0.95928,                0.72036,                0.59585,                0.65678,                0.47379,                 1.5387,                 1.0806,                0.95456,             0.00024455,             0.00024455,             0.00024455
                     62,                  1.561,                  1.136,                0.95588,                0.77705,                 0.6018,                0.66793,                0.47428,                 1.5481,                 1.0818,                0.95402,             0.00023873,             0.00023873,             0.00023873
                     63,                 1.5719,                 1.1489,                0.95604,                0.72628,                0.59816,                0.65612,                0.47186,                 1.5492,                  1.087,                0.95561,             0.00023291,             0.00023291,             0.00023291
                     64,                   1.56,                 1.1473,                0.95758,                0.74031,                0.60469,                0.66148,                0.47305,                 1.5342,                 1.0817,                0.95358,             0.00022709,             0.00022709,             0.00022709
                     65,                 1.5698,                  1.129,                0.95598,                0.76595,                0.60396,                0.67258,                0.48306,                 1.5365,                 1.0712,                0.95126,             0.00022126,             0.00022126,             0.00022126
                     66,                 1.5478,                 1.1283,                0.95095,                0.75649,                0.61099,                0.67134,                0.46943,                 1.5481,                 1.0738,                0.95554,             0.00021544,             0.00021544,             0.00021544
                     67,                 1.5859,                 1.1479,                0.96194,                0.69647,                 0.6278,                0.67104,                0.47984,                  1.533,                 1.0723,                0.95055,             0.00020962,             0.00020962,             0.00020962
                     68,                 1.5648,                  1.141,                0.95131,                0.74994,                0.59497,                0.65926,                0.47455,                  1.513,                 1.0639,                0.94992,              0.0002038,              0.0002038,              0.0002038
                     69,                 1.5738,                 1.1287,                0.95068,                0.73604,                0.62211,                0.67815,                0.47788,                 1.5577,                  1.061,                 0.9558,             0.00019798,             0.00019798,             0.00019798
                     70,                  1.565,                 1.1169,                 0.9523,                0.78415,                0.59395,                0.67249,                0.47618,                 1.5495,                   1.06,                0.95194,             0.00019216,             0.00019216,             0.00019216
                     71,                 1.5599,                 1.1131,                0.95316,                0.72865,                0.62459,                0.68061,                0.48562,                 1.5364,                 1.0495,                0.95055,             0.00018634,             0.00018634,             0.00018634
                     72,                 1.5764,                 1.1339,                0.94922,                0.75841,                0.61861,                0.67521,                0.48219,                 1.5233,                 1.0532,                0.94952,             0.00018052,             0.00018052,             0.00018052
                     73,                 1.5498,                 1.1096,                0.94895,                0.70877,                0.64244,                0.67956,                0.47957,                 1.5251,                 1.0556,                0.94736,             0.00017469,             0.00017469,             0.00017469
                     74,                  1.551,                 1.1092,                0.94839,                0.74885,                0.63045,                0.68455,                0.48963,                 1.5172,                 1.0354,                0.94592,             0.00016887,             0.00016887,             0.00016887
                     75,                 1.5406,                 1.0885,                0.94448,                0.74743,                0.62473,                0.68144,                0.49053,                 1.5175,                 1.0316,                0.94654,             0.00016305,             0.00016305,             0.00016305
                     76,                 1.5538,                 1.1018,                0.95227,                 0.7572,                0.61541,                0.69159,                0.48882,                 1.5217,                 1.0339,                0.95015,             0.00015723,             0.00015723,             0.00015723
                     77,                  1.527,                 1.0881,                0.95077,                0.73308,                 0.6411,                0.69185,                0.49265,                 1.5147,                 1.0298,                0.94643,             0.00015141,             0.00015141,             0.00015141
                     78,                 1.5457,                 1.0811,                0.94612,                0.72797,                0.64236,                0.69017,                0.49725,                 1.5052,                 1.0194,                0.94419,             0.00014559,             0.00014559,             0.00014559
                     79,                 1.5277,                  1.084,                0.94634,                0.77001,                0.62739,                0.68841,                0.49388,                 1.4983,                 1.0169,                0.94452,             0.00013977,             0.00013977,             0.00013977
                     80,                 1.5469,                 1.0859,                0.95164,                0.73967,                0.63294,                0.69325,                0.49709,                 1.5029,                 1.0201,                0.94429,             0.00013395,             0.00013395,             0.00013395
                     81,                 1.5391,                 1.0897,                  0.945,                0.76905,                0.63803,                0.69497,                0.49953,                 1.5022,                 1.0158,                0.94403,             0.00012813,             0.00012813,             0.00012813
                     82,                 1.5218,                  1.083,                0.94349,                0.76568,                0.63638,                0.69921,                0.49687,                 1.5117,                 1.0158,                0.94446,              0.0001223,              0.0001223,              0.0001223
                     83,                 1.5304,                 1.0657,                0.94615,                0.78442,                0.63401,                0.69725,                0.50483,                  1.497,                 1.0077,                0.94218,             0.00011648,             0.00011648,             0.00011648
                     84,                 1.5187,                  1.066,                0.94237,                0.78695,                0.62965,                0.69617,                0.50297,                 1.4973,                 1.0035,                0.94247,             0.00011066,             0.00011066,             0.00011066
                     85,                  1.528,                 1.0758,                0.94469,                0.77414,                0.63576,                0.69552,                 0.5017,                 1.4916,                 1.0023,                0.94146,             0.00010484,             0.00010484,             0.00010484
                     86,                  1.512,                 1.0734,                0.94293,                0.77694,                0.63724,                 0.6989,                0.50453,                 1.4997,                 1.0022,                 0.9416,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     87,                 1.5225,                 1.0615,                0.94015,                0.76574,                  0.639,                0.69496,                0.50179,                 1.4897,                 1.0001,                0.93959,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     88,                 1.5398,                 1.0693,                0.94064,                0.78095,                0.63211,                 0.7003,                0.50455,                 1.4844,                0.99428,                0.94093,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     89,                 1.4877,                 1.0466,                0.93857,                0.77458,                0.62966,                0.69992,                0.50647,                 1.4828,                0.98998,                   0.94,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     90,                  1.528,                 1.0636,                0.93508,                0.74612,                0.64514,                0.70603,                0.51074,                 1.4923,                0.99389,                0.94018,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     91,                 1.5327,                 1.0924,                0.94623,                0.73419,                0.63609,                 0.6959,                0.49765,                  1.502,                 1.0288,                0.94345,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     92,                 1.5415,                 1.0897,                0.94429,                 0.7738,                0.61798,                0.69394,                0.49521,                 1.4991,                 1.0199,                0.94403,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     93,                 1.5263,                 1.0614,                0.94226,                0.74105,                0.63431,                0.69627,                0.50044,                  1.494,                 1.0184,                0.94216,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     94,                 1.5139,                 1.0587,                0.94277,                0.73879,                0.63351,                0.68908,                0.49607,                  1.491,                 1.0122,                0.94199,              5.245e-05,              5.245e-05,              5.245e-05
                     95,                 1.5361,                 1.0634,                0.94121,                0.74773,                0.63449,                0.69623,                0.50351,                 1.4854,                 1.0068,                0.94087,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     96,                 1.5082,                 1.0443,                0.93467,                0.73881,                0.64648,                0.69903,                0.50292,                 1.4855,                 1.0024,                0.94079,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     97,                 1.5209,                 1.0533,                0.94174,                 0.7906,                0.62126,                0.69952,                0.50636,                 1.4864,                 1.0035,                0.94006,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     98,                  1.518,                 1.0448,                0.94089,                0.77549,                0.63413,                0.70198,                0.50694,                 1.4911,                0.99828,                0.93982,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     99,                 1.5171,                  1.042,                0.94091,                0.78318,                0.62956,                0.70159,                0.50654,                 1.4831,                 0.9962,                 0.9392,             2.3344e-05,             2.3344e-05,             2.3344e-05
